Member/Node/Case;FX (kgf);FY (kgf);FZ (kgf);MX (kgfcm);MY (kgfcm);MZ (kgfcm)
 1/ 1/ 1;0,0;0,0;5,41;0,0;0,0;0,0
 1/ 1/ 2;0,0;0,0;128,10;0,0;0,0;0,0
 1/ 1/ 3;0,0;0,0;64,05;0,0;0,0;0,0
 1/ 1/ 4 (C);0,0;0,0;197,56;0,0;0,0;0,0
 1/ 2/ 1;0,0;0,0;-7,47;0,0;-257,66;0,0
 1/ 2/ 2;0,0;0,0;-176,90;0,0;-6100,00;0,0
 1/ 2/ 3;0,0;0,0;-88,45;0,0;-3050,00;0,0
 1/ 2/ 4 (C);0,0;0,0;-272,82;0,0;-9407,66;0,0
 2/ 3/ 1;0,0;0,0;0,00;0,0;-0,00;0,0
 2/ 3/ 2;0,0;0,0;0,00;0,0;0,0;0,0
 2/ 3/ 3;0,0;0,0;0,00;0,0;0,0;0,0
 2/ 3/ 4 (C);0,0;0,0;0,00;0,0;-0,00;0,0
 2/ 2/ 1;0,0;0,0;-5,15;0,0;-257,66;0,0
 2/ 2/ 2;0,0;0,0;-122,00;0,0;-6100,00;0,0
 2/ 2/ 3;0,0;0,0;-61,00;0,0;-3050,00;0,0
 2/ 2/ 4 (C);0,0;0,0;-188,15;0,0;-9407,66;0,0
